altitude[km]	temperature[k]	pressure[hPa]	depth[mg/cm2]	density[mg/cm3]	ndensity[#/cm3]	Hydrogen[%mass]	Helium[%mass]	Oxygen[%mass]	Nitrogen[%mass]	Argon[%mass]
495.5	1289.51	6.12404e-09	4.25371e-07	9.75833e-13	3.43889e+07		0.00507051	0.240895	79.9749	19.7771	0.00209373
495.4	1289.51	6.1323e-09	4.35136e-07	9.77224e-13	3.44354e+07		0.00506369	0.240628	79.9624	19.7898	0.00209736
495.3	1289.51	6.14058e-09	4.44915e-07	9.78618e-13	3.44819e+07		0.00505689	0.240362	79.9499	19.8026	0.002101
495.2	1289.51	6.14887e-09	4.54709e-07	9.80013e-13	3.45285e+07		0.00505009	0.240096	79.9374	19.8153	0.00210465
495.1	1289.51	6.15717e-09	4.64516e-07	9.81411e-13	3.45752e+07		0.0050433	0.239829	79.9249	19.8281	0.0021083
495	1289.5	6.16549e-09	4.74337e-07	9.82811e-13	3.46219e+07		0.00503651	0.239564	79.9124	19.8409	0.00211196
494.9	1289.5	6.17382e-09	4.84172e-07	9.84213e-13	3.46687e+07		0.00502974	0.239298	79.8999	19.8537	0.00211562
494.8	1289.5	6.18215e-09	4.94021e-07	9.85618e-13	3.47156e+07		0.00502297	0.239033	79.8874	19.8665	0.0021193
494.7	1289.5	6.1905e-09	5.03884e-07	9.87024e-13	3.47625e+07		0.00501622	0.238768	79.8748	19.8793	0.00212297
494.6	1289.5	6.19887e-09	5.13762e-07	9.88432e-13	3.48095e+07		0.00500947	0.238503	79.8623	19.8921	0.00212666
494.5	1289.5	6.20724e-09	5.23653e-07	9.89843e-13	3.48566e+07		0.00500273	0.238239	79.8497	19.9049	0.00213035
494.4	1289.49	6.21563e-09	5.33558e-07	9.91256e-13	3.49037e+07		0.00499599	0.237974	79.8372	19.9177	0.00213404
494.3	1289.49	6.22403e-09	5.43478e-07	9.92672e-13	3.49509e+07		0.00498927	0.23771	79.8246	19.9306	0.00213775
494.2	1289.49	6.23244e-09	5.53412e-07	9.94089e-13	3.49982e+07		0.00498255	0.237446	79.812	19.9434	0.00214145
494.1	1289.49	6.24086e-09	5.6336e-07	9.95509e-13	3.50456e+07		0.00497584	0.237183	79.7994	19.9563	0.00214517
494	1289.49	6.2493e-09	5.73322e-07	9.96931e-13	3.5093e+07		0.00496914	0.23692	79.7868	19.9692	0.00214889
493.9	1289.49	6.25775e-09	5.83298e-07	9.98355e-13	3.51405e+07		0.00496245	0.236657	79.7742	19.982	0.00215262
493.8	1289.48	6.26621e-09	5.93289e-07	9.99781e-13	3.5188e+07		0.00495577	0.236394	79.7616	19.9949	0.00215635
493.7	1289.48	6.27468e-09	6.03294e-07	1.00121e-12	3.52356e+07		0.00494909	0.236131	79.7489	20.0078	0.00216009
493.6	1289.48	6.28317e-09	6.13313e-07	1.00264e-12	3.52833e+07		0.00494242	0.235869	79.7363	20.0207	0.00216384
493.5	1289.48	6.29166e-09	6.23347e-07	1.00407e-12	3.53311e+07		0.00493576	0.235607	79.7237	20.0336	0.00216759
493.4	1289.48	6.30018e-09	6.33395e-07	1.00551e-12	3.53789e+07		0.00492911	0.235345	79.711	20.0466	0.00217135
493.3	1289.48	6.3087e-09	6.43457e-07	1.00695e-12	3.54268e+07		0.00492247	0.235084	79.6983	20.0595	0.00217511
493.2	1289.48	6.31723e-09	6.53534e-07	1.00839e-12	3.54748e+07		0.00491583	0.234823	79.6857	20.0724	0.00217888
493.1	1289.47	6.32578e-09	6.63625e-07	1.00983e-12	3.55229e+07		0.0049092	0.234562	79.673	20.0854	0.00218266
493	1289.47	6.33434e-09	6.7373e-07	1.01127e-12	3.5571e+07		0.00490258	0.234301	79.6603	20.0983	0.00218645
492.9	1289.47	6.34291e-09	6.8385e-07	1.01272e-12	3.56192e+07		0.00489597	0.23404	79.6476	20.1113	0.00219024
492.8	1289.47	6.3515e-09	6.93985e-07	1.01417e-12	3.56674e+07		0.00488937	0.23378	79.6349	20.1243	0.00219403
492.7	1289.47	6.36009e-09	7.04134e-07	1.01562e-12	3.57157e+07		0.00488277	0.23352	79.6222	20.1372	0.00219784
492.6	1289.47	6.3687e-09	7.14297e-07	1.01707e-12	3.57641e+07		0.00487619	0.23326	79.6094	20.1502	0.00220165
492.5	1289.46	6.37733e-09	7.24475e-07	1.01853e-12	3.58126e+07		0.00486961	0.233001	79.5967	20.1632	0.00220546
492.4	1289.46	6.38596e-09	7.34668e-07	1.01998e-12	3.58611e+07		0.00486303	0.232741	79.584	20.1762	0.00220929
