\comments
	 Dayly averaged Mars atmospheric profiles computed with MarsGram2001 
	date :	2000/1/1 12:0:0
	ground altitude :	-4.0884 km
	latitude :	45
	longitude :	180
\definition
	 \type_of_composition{mass_composition}
	 \mass_density_unit{kg/m3}
	 \pressure_unit{Pa}
	 \altitude_unit{km}
	 \ground_altitude{-4.0884}
	 \top_altitude{90}
\data
	altitude	temperature	pressure	density	CO2	N2	Ar
	89.899	117.5	0.8340E-02	0.3528E-06	0.957	0.027	0.016
	89.799	117.6	0.8471E-02	0.3582E-06	0.957	0.027	0.016
	89.699	117.7	0.8604E-02	0.3637E-06	0.957	0.027	0.016
	89.599	117.7	0.8739E-02	0.3692E-06	0.957	0.027	0.016
	89.499	117.8	0.8876E-02	0.3748E-06	0.957	0.027	0.016
	89.399	117.8	0.9016E-02	0.3806E-06	0.957	0.027	0.016
	89.299	117.9	0.9157E-02	0.3863E-06	0.957	0.027	0.016
	89.199	118.0	0.9301E-02	0.3922E-06	0.957	0.027	0.016
	89.099	118.0	0.9447E-02	0.3982E-06	0.957	0.027	0.016
	88.999	118.1	0.9596E-02	0.4043E-06	0.957	0.027	0.016
	88.899	118.1	0.9746E-02	0.4104E-06	0.957	0.027	0.016
	88.799	118.2	0.9899E-02	0.4167E-06	0.957	0.027	0.016
	88.699	118.2	0.1005E-01	0.4230E-06	0.957	0.027	0.016
	88.599	118.3	0.1021E-01	0.4295E-06	0.957	0.027	0.016
	88.499	118.4	0.1037E-01	0.4360E-06	0.957	0.027	0.016
	88.399	118.4	0.1054E-01	0.4427E-06	0.957	0.027	0.016
	88.299	118.5	0.1070E-01	0.4494E-06	0.957	0.027	0.016
	88.199	118.5	0.1087E-01	0.4563E-06	0.957	0.027	0.016
	88.099	118.6	0.1104E-01	0.4632E-06	0.957	0.027	0.016
	87.999	118.7	0.1121E-01	0.4703E-06	0.957	0.027	0.016
	87.899	118.7	0.1139E-01	0.4774E-06	0.957	0.027	0.016
	87.799	118.8	0.1157E-01	0.4847E-06	0.957	0.027	0.016
	87.699	118.8	0.1175E-01	0.4920E-06	0.957	0.027	0.016
	87.599	118.9	0.1193E-01	0.4991E-06	0.957	0.027	0.016
	87.499	119.0	0.1211E-01	0.5064E-06	0.957	0.027	0.016
	87.399	119.1	0.1229E-01	0.5137E-06	0.957	0.027	0.016
	87.299	119.2	0.1248E-01	0.5211E-06	0.957	0.027	0.016
	87.199	119.3	0.1267E-01	0.5287E-06	0.957	0.027	0.016
	87.099	119.4	0.1286E-01	0.5363E-06	0.957	0.027	0.016
	86.999	119.5	0.1306E-01	0.5441E-06	0.957	0.027	0.016
