\comments
	 Dayly averaged Mars atmospheric profiles computed with MarsGram2001 
	date :	2000/1/1 12:0:0
	ground altitude :	-2.4914 km
	latitude :	0
	longitude :	180
\definition
	 \type_of_composition{mass_composition}
	 \mass_density_unit{kg/m3}
	 \pressure_unit{Pa}
	 \altitude_unit{km}
	 \ground_altitude{-2.4914}
	 \top_altitude{90}
\data
	altitude	temperature	pressure	density	CO2	N2	Ar
	81.899	131.0	0.3621E-01	0.1378E-05	0.957	0.027	0.016
	81.799	131.1	0.3671E-01	0.1396E-05	0.957	0.027	0.016
	81.699	131.1	0.3722E-01	0.1415E-05	0.957	0.027	0.016
	81.599	131.2	0.3774E-01	0.1433E-05	0.957	0.027	0.016
	81.499	131.3	0.3826E-01	0.1452E-05	0.957	0.027	0.016
	81.399	131.4	0.3880E-01	0.1472E-05	0.957	0.027	0.016
	81.299	131.5	0.3934E-01	0.1491E-05	0.957	0.027	0.016
	81.199	131.6	0.3988E-01	0.1511E-05	0.957	0.027	0.016
	81.099	131.7	0.4044E-01	0.1531E-05	0.957	0.027	0.016
	80.999	131.8	0.4100E-01	0.1551E-05	0.957	0.027	0.016
	80.899	131.9	0.4157E-01	0.1572E-05	0.957	0.027	0.016
	80.799	131.9	0.4215E-01	0.1592E-05	0.957	0.027	0.016
	80.699	132.0	0.4273E-01	0.1614E-05	0.957	0.027	0.016
	80.599	132.1	0.4333E-01	0.1635E-05	0.957	0.027	0.016
	80.499	132.2	0.4393E-01	0.1657E-05	0.957	0.027	0.016
	80.399	132.3	0.4454E-01	0.1678E-05	0.957	0.027	0.016
	80.299	132.4	0.4516E-01	0.1701E-05	0.957	0.027	0.016
	80.199	132.5	0.4579E-01	0.1723E-05	0.957	0.027	0.016
	80.099	132.6	0.4643E-01	0.1746E-05	0.957	0.027	0.016
	79.999	132.7	0.4707E-01	0.1769E-05	0.957	0.027	0.016
	79.899	132.7	0.4773E-01	0.1793E-05	0.957	0.027	0.016
	79.799	132.8	0.4839E-01	0.1816E-05	0.957	0.027	0.016
	79.699	132.9	0.4906E-01	0.1840E-05	0.957	0.027	0.016
	79.599	133.0	0.4975E-01	0.1865E-05	0.957	0.027	0.016
	79.499	133.1	0.5044E-01	0.1889E-05	0.957	0.027	0.016
	79.399	133.2	0.5114E-01	0.1914E-05	0.957	0.027	0.016
	79.299	133.3	0.5185E-01	0.1940E-05	0.957	0.027	0.016
	79.199	133.4	0.5257E-01	0.1966E-05	0.957	0.027	0.016
	79.099	133.5	0.5330E-01	0.1992E-05	0.957	0.027	0.016
	78.999	133.5	0.5404E-01	0.2018E-05	0.957	0.027	0.016
	78.899	133.6	0.5480E-01	0.2045E-05	0.957	0.027	0.016
	78.799	133.7	0.5556E-01	0.2072E-05	0.957	0.027	0.016
	78.699	133.8	0.5633E-01	0.2099E-05	0.957	0.027	0.016
	78.599	133.9	0.5711E-01	0.2127E-05	0.957	0.027	0.016
	78.499	134.0	0.5791E-01	0.2155E-05	0.957	0.027	0.016
	78.399	134.1	0.5871E-01	0.2184E-05	0.957	0.027	0.016
